# Time (s), Acceleration (g)
0.000000000000000000e+00,-3.232270686944126344e-03
1.000000000000000021e-02,-4.045197634328846770e-03
2.000000000000000042e-02,-4.684141021396078658e-03
2.999999999999999889e-02,-5.289538508365177090e-03
4.000000000000000083e-02,-6.023915091945985026e-03
5.000000000000000278e-02,-6.962924821058209812e-03
5.999999999999999778e-02,-8.028392080789851018e-03
7.000000000000000666e-02,-8.934523931368986913e-03
8.000000000000000167e-02,-9.312642477997410198e-03
8.999999999999999667e-02,-9.087677437160242636e-03
1.000000000000000056e-01,-8.652914403866906329e-03
1.100000000000000006e-01,-8.454519539282613974e-03
1.199999999999999956e-01,-8.640334316501090475e-03
1.300000000000000044e-01,-9.015899222553434844e-03
1.400000000000000133e-01,-9.261457504963533510e-03
1.499999999999999944e-01,-9.319105992544133091e-03
1.600000000000000033e-01,-9.321211732465967473e-03
1.700000000000000122e-01,-9.384637287911740816e-03
1.799999999999999933e-01,-9.622871335439235271e-03
1.900000000000000022e-01,-1.017279919740067713e-02
2.000000000000000111e-01,-1.100462579656337481e-02
2.099999999999999922e-01,-1.176082842613085030e-02
2.200000000000000011e-01,-1.198931258205661841e-02
2.300000000000000100e-01,-1.154069575451588218e-02
2.399999999999999911e-01,-1.076701732898156273e-02
2.500000000000000000e-01,-1.004656795049221202e-02
2.600000000000000089e-01,-9.304551013395622600e-03
2.700000000000000178e-01,-8.229873293663059544e-03
2.800000000000000266e-01,-6.912709583906022880e-03
2.899999999999999800e-01,-5.645206029968312389e-03
2.999999999999999889e-01,-4.365900621773438975e-03
3.099999999999999978e-01,-3.523927288350360999e-03
3.200000000000000067e-01,-3.532515071732184389e-03
3.300000000000000155e-01,-3.618164769112214123e-03
3.400000000000000244e-01,-3.374493720673583420e-03
3.500000000000000333e-01,-3.125032579392613991e-03
3.599999999999999867e-01,-3.005665037046132901e-03
3.699999999999999956e-01,-3.102666104270573530e-03
3.800000000000000044e-01,-3.024562008386525586e-03
3.900000000000000133e-01,-2.927421632764991375e-03
4.000000000000000222e-01,-3.333380266417178186e-03
4.100000000000000311e-01,-3.441654248988139288e-03
4.199999999999999845e-01,-3.468543431297274517e-03
4.299999999999999933e-01,-4.033715860484963014e-03
4.400000000000000022e-01,-4.617113487393809286e-03
4.500000000000000111e-01,-4.650995766622752908e-03
4.600000000000000200e-01,-3.839556056598210539e-03
4.700000000000000289e-01,-4.089637229835789423e-03
4.799999999999999822e-01,-4.844565675081677521e-03
4.899999999999999911e-01,-4.557547020908471469e-03
5.000000000000000000e-01,-6.055794388193026095e-03
5.100000000000000089e-01,-7.594526044015354610e-03
5.200000000000000178e-01,-6.766493814510662202e-03
5.300000000000000266e-01,-5.903846759820705406e-03
5.400000000000000355e-01,-5.200896928322114483e-03
5.500000000000000444e-01,-6.073064423336965723e-03
5.600000000000000533e-01,-9.019956396876801369e-03
5.700000000000000622e-01,-1.074343601710890141e-02
5.799999999999999600e-01,-1.097656367664217626e-02
5.899999999999999689e-01,-1.093824872933917350e-02
5.999999999999999778e-01,-1.021411890295756755e-02
6.099999999999999867e-01,-9.020925612059511531e-03
6.199999999999999956e-01,-8.083358606288039427e-03
6.300000000000000044e-01,-7.752154775135199766e-03
6.400000000000000133e-01,-8.200585626280502971e-03
6.500000000000000222e-01,-7.787853675872642538e-03
6.600000000000000311e-01,-5.211736477437545895e-03
6.700000000000000400e-01,-3.305365514582297125e-03
6.800000000000000488e-01,-4.775676370075882665e-03
6.900000000000000577e-01,-7.421552603914924676e-03
7.000000000000000666e-01,-9.275384101961230490e-03
7.099999999999999645e-01,-1.173933202636010323e-02
7.199999999999999734e-01,-1.252440005129647899e-02
7.299999999999999822e-01,-1.138706702830445325e-02
7.399999999999999911e-01,-1.253723441946545843e-02
7.500000000000000000e-01,-1.241603200396068987e-02
7.600000000000000089e-01,-1.076574957974238758e-02
7.700000000000000178e-01,-1.152512611948894664e-02
7.800000000000000266e-01,-1.028289634174531925e-02
7.900000000000000355e-01,-8.479535554069788164e-03
8.000000000000000444e-01,-8.782063935900542503e-03
8.100000000000000533e-01,-6.742743593332421216e-03
8.200000000000000622e-01,-5.228225328642239697e-03
8.300000000000000711e-01,-5.587816549682309876e-03
8.399999999999999689e-01,-4.370491507563979347e-03
8.499999999999999778e-01,-3.845343979298299335e-03
8.599999999999999867e-01,-4.858674410184648726e-03
8.699999999999999956e-01,-6.631770213253358054e-03
8.800000000000000044e-01,-7.239576811577977736e-03
8.900000000000000133e-01,-4.478822300821835682e-03
9.000000000000000222e-01,-2.428970885886745819e-03
9.100000000000000311e-01,-3.119992094157877927e-03
9.200000000000000400e-01,-5.460140635117490329e-03
9.300000000000000488e-01,-9.695048260244849489e-03
9.400000000000000577e-01,-1.321379157403579883e-02
9.500000000000000666e-01,-1.442485848262011275e-02
9.599999999999999645e-01,-1.469057519382435326e-02
9.699999999999999734e-01,-1.391851986043937325e-02
9.799999999999999822e-01,-1.310190673307674511e-02
9.899999999999999911e-01,-1.387947479545219472e-02
1.000000000000000000e+00,-1.286477846576321304e-02
1.010000000000000009e+00,-8.592479530116275618e-03
1.020000000000000018e+00,-5.427860689210989124e-03
1.030000000000000027e+00,-2.893022831186306716e-03
1.040000000000000036e+00,-8.634720684652522418e-04
1.050000000000000044e+00,-5.272621161829930438e-03
1.060000000000000053e+00,-1.207739022792640553e-02
1.070000000000000062e+00,-1.422129989860450305e-02
1.080000000000000071e+00,-1.320296873607992513e-02
1.090000000000000080e+00,-8.998481327351526976e-03
1.100000000000000089e+00,-7.323785762321856005e-03
1.110000000000000098e+00,-9.949700737011572121e-03
1.120000000000000107e+00,-9.564960773715521294e-03
1.130000000000000115e+00,-1.052878979187243588e-02
1.140000000000000124e+00,-1.212876001616848554e-02
1.150000000000000133e+00,-8.384458552677389112e-03
1.159999999999999920e+00,-4.734437138998143051e-03
1.169999999999999929e+00,-4.138457839669618457e-03
1.179999999999999938e+00,-2.046467362535826610e-03
1.189999999999999947e+00,9.790455304492465954e-04
1.199999999999999956e+00,-5.441181423496838088e-04
1.209999999999999964e+00,6.726592484538312239e-04
1.219999999999999973e+00,4.462402958957936358e-03
1.229999999999999982e+00,3.364833402478012089e-03
1.239999999999999991e+00,5.593961909222964005e-03
1.250000000000000000e+00,6.522303943129649159e-03
1.260000000000000009e+00,4.450651020896688806e-03
1.270000000000000018e+00,6.855974753879298320e-03
1.280000000000000027e+00,5.907925313972795314e-03
1.290000000000000036e+00,2.931809834552852670e-03
1.300000000000000044e+00,2.494294252035945264e-03
1.310000000000000053e+00,5.625952588247735281e-03
1.320000000000000062e+00,1.421814602082939125e-02
1.330000000000000071e+00,1.828112419299883495e-02
1.340000000000000080e+00,1.228835798490493514e-02
1.350000000000000089e+00,7.210662754677393121e-03
1.360000000000000098e+00,1.062450467947805358e-02
1.370000000000000107e+00,1.296626504521966594e-02
1.380000000000000115e+00,1.142039855536375326e-02
1.390000000000000124e+00,1.404596999150641012e-02
1.400000000000000133e+00,1.615027418352997166e-02
1.409999999999999920e+00,1.024681935821330700e-02
1.419999999999999929e+00,-7.845811649779257588e-04
1.429999999999999938e+00,-5.046656620626414902e-03
1.439999999999999947e+00,5.843477005779487699e-04
1.449999999999999956e+00,4.353401317019287356e-03
1.459999999999999964e+00,8.463617310759350212e-03
1.469999999999999973e+00,1.466693018770376042e-02
1.479999999999999982e+00,7.959165840679191875e-03
1.489999999999999991e+00,-7.118912958307061986e-03
1.500000000000000000e+00,-1.258676449619542531e-02
1.510000000000000009e+00,-7.775665759181980483e-03
1.520000000000000018e+00,-3.329362396254478655e-03
1.530000000000000027e+00,-3.536755574905291709e-03
1.540000000000000036e+00,-2.722283134074675228e-03
1.550000000000000044e+00,-3.939400588214734752e-03
1.560000000000000053e+00,-1.099209154761541726e-02
1.570000000000000062e+00,-1.321602743281817538e-02
1.580000000000000071e+00,-7.328148756643864357e-03
1.590000000000000080e+00,-1.614197508563377115e-03
1.600000000000000089e+00,-2.703740176549067082e-03
1.610000000000000098e+00,-7.615780729590576267e-03
1.620000000000000107e+00,-1.138938546353031669e-02
1.630000000000000115e+00,-1.894340242263070628e-02
1.640000000000000124e+00,-2.228526035865799684e-02
1.650000000000000133e+00,-1.279935179287878741e-02
1.660000000000000142e+00,-6.596871785779405764e-03
1.669999999999999929e+00,-2.925691742134963521e-03
1.679999999999999938e+00,7.062614279787078966e-03
1.689999999999999947e+00,1.203298160895293484e-02
1.699999999999999956e+00,1.487638356499714279e-02
1.709999999999999964e+00,1.690498189442014854e-02
1.719999999999999973e+00,1.469735222621480764e-02
1.729999999999999982e+00,1.997724497207066865e-02
1.739999999999999991e+00,2.282816986048806507e-02
1.750000000000000000e+00,1.476720748090407792e-02
1.760000000000000009e+00,1.092630489028707103e-02
1.770000000000000018e+00,1.067835220772963591e-02
1.780000000000000027e+00,6.152651062563872786e-03
1.790000000000000036e+00,-2.377432500191736624e-04
1.800000000000000044e+00,-1.081578493046376870e-04
1.810000000000000053e+00,1.039488286954392410e-02
1.820000000000000062e+00,1.478622713921537088e-02
1.830000000000000071e+00,3.950253355808703605e-03
1.840000000000000080e+00,-4.137560349855704499e-03
1.850000000000000089e+00,-8.184301272362817792e-03
1.860000000000000098e+00,-1.709168020348010922e-02
1.870000000000000107e+00,-2.073371969621256791e-02
1.880000000000000115e+00,-2.355514551088488950e-02
1.890000000000000124e+00,-2.587833486874424258e-02
1.900000000000000133e+00,-1.589596430015658909e-02
1.910000000000000142e+00,-9.276421110335010198e-03
1.919999999999999929e+00,-8.477260625831394003e-03
1.929999999999999938e+00,-1.238990259422885227e-03
1.939999999999999947e+00,2.428506917290259789e-03
1.949999999999999956e+00,4.267307871574478953e-04
1.959999999999999964e+00,-4.863824544729836857e-03
1.969999999999999973e+00,-1.284764956524407989e-02
1.979999999999999982e+00,-1.687276466681512932e-02
1.989999999999999991e+00,-2.016035868105685303e-02
2.000000000000000000e+00,-1.819913904825810891e-02
2.010000000000000231e+00,-1.214865425448556288e-02
2.020000000000000018e+00,-9.477018201065563752e-03
2.030000000000000249e+00,-2.573275884811626179e-03
2.040000000000000036e+00,-1.977536160663396006e-03
2.049999999999999822e+00,-1.209369477717036137e-03
2.060000000000000053e+00,1.578759910015583093e-02
2.069999999999999840e+00,2.484593577852184029e-02
2.080000000000000071e+00,2.445497693278928658e-02
2.089999999999999858e+00,2.866956478196403674e-02
2.100000000000000089e+00,3.089438677245950893e-02
2.109999999999999876e+00,2.359633149167322461e-02
2.120000000000000107e+00,9.350886535670240030e-03
2.129999999999999893e+00,3.957020434879126962e-03
2.140000000000000124e+00,-2.128594370511455430e-03
2.149999999999999911e+00,-1.684300137635821870e-02
2.160000000000000142e+00,-2.113560965529538704e-02
2.169999999999999929e+00,-1.911579644566300737e-02
2.180000000000000160e+00,-1.791440122422746292e-02
2.189999999999999947e+00,-7.208393815555565361e-03
2.200000000000000178e+00,1.136788194329379012e-02
2.209999999999999964e+00,1.864969291198785226e-02
2.220000000000000195e+00,1.586353111636065044e-02
2.229999999999999982e+00,1.859222129067758869e-02
2.240000000000000213e+00,1.146409786933744526e-02
2.250000000000000000e+00,-5.805976044939003058e-03
2.260000000000000231e+00,-1.325139111445241581e-02
2.270000000000000018e+00,-1.462369827898884860e-02
2.280000000000000249e+00,-1.319930031490408259e-02
2.290000000000000036e+00,-6.210216391593225901e-03
2.300000000000000266e+00,8.573355333980896276e-03
2.310000000000000053e+00,1.374303261904449500e-02
2.319999999999999840e+00,1.782614463994712083e-03
2.330000000000000071e+00,-2.227176131196640339e-03
2.339999999999999858e+00,-8.413152848878155399e-03
2.350000000000000089e+00,-1.443851833119555624e-02
2.359999999999999876e+00,-8.139040678372563148e-03
2.370000000000000107e+00,-8.155460877898278171e-03
2.379999999999999893e+00,-7.247110715887470148e-03
2.390000000000000124e+00,-1.956027790713941311e-02
2.399999999999999911e+00,-4.161813697834848558e-02
2.410000000000000142e+00,-4.869324143631434398e-02
2.419999999999999929e+00,-4.916651696464700849e-02
2.430000000000000160e+00,-2.847821184908136752e-02
2.439999999999999947e+00,-9.393354016888753877e-03
2.450000000000000178e+00,3.160788454702558037e-03
2.459999999999999964e+00,2.835370319884266549e-02
2.470000000000000195e+00,2.245392798034978252e-02
2.479999999999999982e+00,1.016411016991995535e-02
2.490000000000000213e+00,1.852682666803648348e-02
2.500000000000000000e+00,9.738440047880212933e-03
2.510000000000000231e+00,3.844926284110574723e-03
2.520000000000000018e+00,1.855850113986075994e-02
2.530000000000000249e+00,2.591062956722768595e-02
2.540000000000000036e+00,1.901749830546612882e-02
2.550000000000000266e+00,1.598736194243251946e-02
2.560000000000000053e+00,2.458556616626476204e-02
2.569999999999999840e+00,2.654931368911499223e-02
2.580000000000000071e+00,2.737022907198639887e-02
2.589999999999999858e+00,5.034746939167496216e-02
2.600000000000000089e+00,6.063837107184951586e-02
2.609999999999999876e+00,4.772707158394198096e-02
2.620000000000000107e+00,3.592903386462325405e-02
2.629999999999999893e+00,5.255765104370400259e-03
2.640000000000000124e+00,-2.241688781444392195e-02
2.649999999999999911e+00,-3.828872277830763088e-02
2.660000000000000142e+00,-5.051817541083138130e-02
2.669999999999999929e+00,-2.102095779623043212e-02
2.680000000000000160e+00,-4.588067177983918762e-03
2.689999999999999947e+00,-3.579222223792095925e-02
2.700000000000000178e+00,-4.059219964597666347e-02
2.709999999999999964e+00,-1.569569042244136139e-02
2.720000000000000195e+00,-2.742497195437677317e-03
2.729999999999999982e+00,5.159511982352445354e-03
2.740000000000000213e+00,1.905532285307222004e-02
2.750000000000000000e+00,1.931397004348172144e-02
2.760000000000000231e+00,-7.899441316688907838e-03
2.770000000000000018e+00,-5.412394864260069993e-02
2.780000000000000249e+00,-9.164569784383240492e-02
2.790000000000000036e+00,-9.128393024089738461e-02
2.800000000000000266e+00,-6.681601525912175821e-02
2.810000000000000053e+00,-3.138068277790082017e-02
2.819999999999999840e+00,3.490654896664080811e-03
