# Period (s), Spectral Acceleration (g)
1.000000000000000021e-03,4.878172407441538905e-01
1.030513801684032138e-03,4.883389110097854924e-01
1.061958695461276674e-03,4.880172787362775377e-01
1.094363092491215531e-03,4.871949007758385464e-01
1.127756270865816696e-03,4.867419130929873106e-01
1.162168402062939898e-03,4.871381020366614134e-01
1.197630578206938150e-03,4.878911180849571094e-01
1.234174840161077419e-03,4.880745934110403694e-01
1.271834206477174449e-03,4.874879216536038840e-01
1.310642703228587442e-03,4.869621185973336264e-01
1.350635394753528246e-03,4.872336022130654976e-01
1.391848415336472029e-03,4.878518713408362406e-01
1.434319001856283445e-03,4.878426661284108179e-01
1.478085527430565010e-03,4.872785594492984873e-01
1.523187536086619389e-03,4.871709736977027361e-01
1.569665778490355983e-03,4.876779472000784543e-01
1.617562248765422664e-03,4.878120740770346964e-01
1.666920222435827690e-03,4.873685444332468419e-01
1.717784295526339055e-03,4.873244691818410246e-01
1.770200424855974605e-03,4.877441258306414729e-01
1.824215969561019269e-03,4.876737074374135616e-01
1.879879733885048533e-03,4.873679273801727052e-01
1.937242011274648143e-03,4.876140720620449343e-01
1.996354629820658397e-03,4.877610086334769335e-01
2.057270999086005265e-03,4.874947704613556976e-01
2.120046158362426467e-03,4.876309587322459893e-01
2.184736826399691356e-03,4.877814324190606898e-01
2.251401452652253450e-03,4.875864862563250579e-01
2.320100270089626299e-03,4.877422480483342704e-01
2.390895349618212939e-03,4.877925368171979192e-01
2.463850656163737562e-03,4.876980253678495081e-01
2.539032106464990564e-03,4.878777187826958128e-01
2.616507628631053583e-03,4.878085409114075177e-01
2.696347223515858579e-03,4.878948151222214924e-01
2.778623027965512315e-03,4.879437624563155440e-01
2.863409379995536692e-03,4.879536141509241975e-01
2.950782885956917956e-03,4.880586985344807505e-01
3.040822489751643636e-03,4.880602305070759761e-01
3.133609544160270103e-03,4.881741845842426653e-01
3.229227884345966561e-03,4.881942732763263626e-01
3.327763903601449816e-03,4.883017644593227180e-01
3.429306631407225137e-03,4.883476056815042599e-01
3.533947813871721275e-03,4.884478479376084259e-01
3.641781996625921732e-03,4.885294457240739185e-01
3.752906610247444021e-03,4.886245310793143615e-01
3.867422058291227448e-03,4.887425262347931953e-01
3.985431808006377301e-03,4.888421211089971075e-01
4.107042483821117702e-03,4.889725546223793740e-01
4.232363963680330250e-03,4.891044008049534875e-01
4.361509478322720366e-03,4.892450450843558452e-01
4.494595713587281813e-03,4.894089362062205573e-01
4.631742915841589522e-03,4.895882514053351842e-01
4.773075000627000943e-03,4.897974324984218364e-01
4.918719664619144658e-03,4.900647063934406855e-01
5.068808501004682353e-03,4.904225466382944321e-01
5.223477118378675593e-03,4.908680298168446310e-01
5.382865263269961953e-03,4.913031576276271628e-01
5.547116946405247079e-03,4.915854458187586817e-01
5.716380572825990707e-03,4.917150146962048773e-01
5.890809075975656645e-03,4.918789744729175628e-01
6.070560055878480681e-03,4.920294675011308572e-01
6.255795921534557623e-03,4.919875895589316817e-01
6.446684037660046357e-03,4.918199509280202775e-01
6.643396875904821093e-03,4.917910656770636546e-01
6.846112170684499204e-03,4.925287819999196182e-01
7.055013079767405090e-03,4.941167896369780266e-01
7.270288349761680306e-03,4.958533850738652826e-01
7.492132486652037550e-03,4.976577534584823992e-01
7.720745931540232317e-03,4.983070478267376258e-01
7.956335241748048806e-03,4.967664063627272863e-01
8.199113277446424403e-03,4.977981219184552386e-01
8.449299393979347803e-03,4.993324461689756522e-01
8.707119640056238188e-03,4.972553896784623895e-01
8.972806961992063970e-03,5.001338409631829185e-01
9.246601414179394032e-03,5.141686030195623536e-01
9.528750375982953866e-03,5.252520552844424095e-01
9.819508775252344321e-03,5.217344942191372015e-01
1.011913931865500785e-02,5.126433853688612263e-01
1.042791272903753966e-02,5.325285246634289260e-01
1.074610799002978512e-02,5.401697803212217597e-01
1.107401259811274623e-02,5.251367578720806950e-01
1.141192282237803862e-02,5.426042531572699001e-01
1.176014397221356207e-02,5.668017718200888400e-01
1.211899067315735240e-02,6.060832029848529645e-01
1.248878715116871242e-02,6.237642075578090362e-01
1.286986752557356221e-02,6.053550126968404443e-01
1.326257611094867894e-02,5.998328555844610888e-01
1.366726772821755601e-02,6.109467511447866928e-01
1.408430802523896047e-02,5.947092507617522950e-01
1.451407380717792406e-02,5.988746362231821552e-01
1.495695337695755571e-02,5.876932654486425323e-01
1.541334688609935326e-02,5.990595806744574148e-01
1.588366669626899153e-02,6.080953410135903070e-01
1.636833775185421100e-02,6.279474815327725779e-01
1.686779796391154468e-02,6.702319416632968041e-01
1.738249860582866471e-02,6.977239730024483721e-01
1.791290472105988574e-02,7.522264497760056123e-01
1.845949554330326980e-02,8.024100330466632514e-01
1.902276492949890943e-02,8.316161977102570768e-01
1.960322180603960018e-02,8.085052485871006001e-01
2.020139062859718782e-02,7.864136490697284376e-01
2.081781185597986542e-02,8.188331113023168406e-01
2.145304243844873074e-02,8.649442944982377313e-01
2.210765632093469185e-02,8.920073735773476065e-01
2.278224496161043028e-02,8.834258479272347753e-01
2.347741786628605373e-02,7.827780370847596814e-01
2.419380313911105931e-02,6.733749356701080879e-01
2.493204805008040689e-02,6.627112173119741323e-01
2.569281961985732041e-02,6.713129344217722005e-01
2.647680522244126936e-02,6.693561141771204870e-01
2.728471320622559079e-02,7.397167783858416001e-01
2.811727353400604937e-02,7.483693861063975827e-01
2.897523844251839731e-02,7.842542690860334620e-01
2.985938312210094717e-02,7.490480778746337887e-01
3.077050641709627027e-02,7.973434585824827892e-01
3.170943154762480287e-02,8.560938505262056797e-01
3.267700685338241484e-02,8.385933904881397449e-01
3.367410656013428844e-02,8.335189934370078602e-01
3.470163156959719247e-02,9.986303907289165727e-01
3.576051027342423000e-02,1.086057313146672421e+00
3.685169939202730810e-02,1.185501950277239036e+00
3.797618483899519587e-02,1.130870767822417466e+00
3.913498261188844141e-02,1.218791818199667754e+00
4.032913971021565014e-02,1.195323665799117085e+00
4.155973508142080108e-02,1.043768976570953466e+00
4.282788059573618827e-02,9.379467098003908543e-01
4.413472205078190769e-02,9.556767538859647360e-01
4.548144020681935129e-02,9.198230745698429134e-01
4.686925185359440416e-02,8.637351885912243343e-01
4.829941090973393497e-02,8.757982700443138757e-01
4.977320955568913241e-02,9.731542632464011966e-01
5.129197940124923666e-02,1.038796662384285252e+00
5.285709268868041266e-02,1.207224725665480669e+00
5.446996353257731183e-02,1.316414738962942366e+00
5.613204919754683636e-02,1.366514735465968799e+00
5.784485141487911986e-02,1.319655494900474180e+00
